,SNO,State,District,ulb,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
12,7,Uttar Pradesh,Baghpat ,Khekada (NP),684,32,229,205,179,420,3,0,93,55,119,2
14,8,Uttar Pradesh,Baghpat ,Tikri (NP),771,3,320,320,312,340,2,106,282,275,14,0
0,1,Uttar Pradesh,Bahraich,Bahraich (NPP),9609,1122,3561,3561,3391,4711,39,176,3210,1184,194,57
2,2,Uttar Pradesh,Bahraich,Jarwal (NP),3528,63,930,930,915,2505,4,26,914,116,11,2
4,3,Uttar Pradesh,Bahraich,Nanpara (NPP),8099,317,2102,2009,1318,5661,15,4,1842,1643,76,7
6,4,Uttar Pradesh,Bahraich,Risiya Bazar (NP),3311,314,1315,1187,821,1667,3,12,1033,18,5,9
0,1,Uttar Pradesh,Ballia ,Ballia (NPP),9555,330,2319,1948,1718,6735,24,147,1184,941,71,38
2,2,Uttar Pradesh,Ballia ,Bansdih (NP),4725,607,1397,1397,1371,1787,14,920,1260,0,3,6
4,3,Uttar Pradesh,Ballia ,Bariya (NP),5101,2971,2082,2077,2075,6,36,6,1245,0,397,10
6,4,Uttar Pradesh,Ballia ,Belthara Road (NP),3010,316,471,471,451,1529,2,692,445,375,3,3
8,5,Uttar Pradesh,Ballia ,Chitbara Gaon (NP),3489,49,1826,1696,1410,1575,3,36,978,1,104,2
10,6,Uttar Pradesh,Ballia ,Maniyar (NP),4330,184,2524,2100,1829,1240,5,377,1895,0,98,1
12,7,Uttar Pradesh,Ballia ,Rasra (NPP),4962,576,1318,1317,1251,2923,14,131,1165,1,6,16
14,8,Uttar Pradesh,Ballia ,Reoti (NP),3732,20,2423,2304,2246,790,10,489,2105,1825,16,3
16,9,Uttar Pradesh,Ballia ,Sahatwar (NP),1878,234,1095,1054,454,532,1,16,1000,0,5,3
18,10,Uttar Pradesh,Ballia ,Sikanderpur (NP),7677,826,1340,1340,1226,1282,9,4220,1219,0,35,2
0,1,Uttar Pradesh,Balrampur ,Balrampur (NPP),3935,56,1885,1885,1816,1711,3,280,1656,177,86,6
2,2,Uttar Pradesh,Balrampur ,Pachperwa (NP),4374,16,1391,1391,1336,2937,12,18,1196,0,483,19
4,3,Uttar Pradesh,Balrampur ,Tulsipur (NP),4278,4,685,685,545,3562,15,12,667,303,177,6
6,4,Uttar Pradesh,Balrampur ,Utraula (NPP),1581,11,519,512,446,983,16,52,562,68,72,6
0,1,Uttar Pradesh,Banda ,Atarra (NPP),4542,0,3020,3020,2672,1489,23,10,1800,1300,884,14
2,2,Uttar Pradesh,Banda ,Baberu (NP),2414,21,1021,1021,540,1316,12,44,767,487,72,8
4,3,Uttar Pradesh,Banda ,Banda (NPP),11315,338,5547,5483,4655,4323,63,1044,3963,3527,1024,32
6,4,Uttar Pradesh,Banda ,Bisanda Buzurg (NP),3379,125,1574,1573,1431,1652,13,15,1063,965,371,10
8,5,Uttar Pradesh,Banda ,Mataundh (NP),2194,0,1077,1077,574,1091,1,25,972,171,1,0
10,6,Uttar Pradesh,Banda ,Naraini (NP),2125,7,1088,1088,163,907,8,115,982,334,80,3
12,7,Uttar Pradesh,Banda ,Oran (NP),2755,62,1691,1616,1419,700,3,299,784,323,198,1
14,8,Uttar Pradesh,Banda ,Tindwari (NP),3404,16,1280,1280,360,1945,5,158,891,2,312,9
0,1,Uttar Pradesh,Bara Banki,Banki (NP),2028,212,554,554,492,1248,4,10,380,211,126,8
2,2,Uttar Pradesh,Bara Banki,Belhara (NP),3125,42,2151,2150,2130,848,8,76,1744,1540,207,11
4,3,Uttar Pradesh,Bara Banki,Dariyabad (NP),2280,65,1275,1272,1109,924,3,13,955,919,209,5
6,4,Uttar Pradesh,Bara Banki,Dewa (NP),2411,31,767,767,751,1467,11,135,506,453,233,34
8,5,Uttar Pradesh,Bara Banki,Fatehpur (NP),2978,2,1699,1698,1483,1265,2,10,1786,1113,94,190
10,6,Uttar Pradesh,Bara Banki,Haidergarh (NP),2781,34,790,774,765,1952,3,2,603,227,169,240
12,7,Uttar Pradesh,Bara Banki,Nawabganj (NPP),5268,740,1585,850,797,2756,14,173,770,480,104,92
14,8,Uttar Pradesh,Bara Banki,Ramnagar (NP),2464,113,1131,1131,1087,1199,15,6,662,553,346,14
16,9,Uttar Pradesh,Bara Banki,Satrikh (NP),1856,174,540,530,465,1118,2,22,425,316,101,10
18,10,Uttar Pradesh,Bara Banki,Siddhaur (NP),3055,2,1159,1112,1000,1618,4,272,688,101,357,53
20,11,Uttar Pradesh,Bara Banki,Subeha (NP),2733,69,1918,1918,1825,682,1,63,1765,1402,279,21
22,12,Uttar Pradesh,Bara Banki,Tikait Nagar (NP),1047,5,627,627,555,348,1,66,502,379,86,6
24,13,Uttar Pradesh,Bara Banki,Zaidpur (NP),3020,291,1636,1069,974,946,12,135,671,71,312,24
0,1,Uttar Pradesh,Bareilly ,Aonla (NPP),3476,117,1598,1597,1278,1711,19,31,1501,857,0,7
2,2,Uttar Pradesh,Bareilly ,Baheri (NPP),2193,25,905,905,770,1260,2,1,805,1,38,13
4,3,Uttar Pradesh,Bareilly ,Bareilly (CB),50,48,0,0,0,0,2,0,0,0,0,7
6,4,Uttar Pradesh,Bareilly ,Bareilly (M Corp.),23665,2015,8700,8700,7528,11609,42,1299,7223,7195,224,49
8,5,Uttar Pradesh,Bareilly ,Bisharatganj (NP),1730,0,908,908,781,800,0,22,845,844,17,0
10,6,Uttar Pradesh,Bareilly ,Deoranian (NP),2819,1024,320,312,291,1451,9,15,231,0,39,4
12,7,Uttar Pradesh,Bareilly ,Dhaura Tanda (NP),1822,85,254,254,247,1478,4,1,253,1,0,0
14,8,Uttar Pradesh,Bareilly ,Faridpur (NP),1407,77,500,500,500,745,7,78,344,0,28,2
16,9,Uttar Pradesh,Bareilly ,Faridpur (NPP),5021,296,1537,1534,1415,1646,5,1537,951,428,64,3
18,10,Uttar Pradesh,Bareilly ,Fatehganj Pashchimi (NP),2246,0,637,637,574,1514,5,90,638,141,3,2
20,11,Uttar Pradesh,Bareilly ,Fatehganj Purvi (NP),1667,416,319,235,214,929,1,2,191,0,18,2
22,12,Uttar Pradesh,Bareilly ,Mirganj (NP),3233,331,852,850,693,2026,7,17,749,0,21,6
24,13,Uttar Pradesh,Bareilly ,Nawabganj (NPP),11276,2178,320,314,302,8760,5,13,128,0,31,8
26,14,Uttar Pradesh,Bareilly ,Richha (NP),2096,0,236,236,233,1846,8,6,236,0,36,5
28,15,Uttar Pradesh,Bareilly ,Rithora (NP),1906,4,739,739,718,1100,2,61,591,105,50,1
30,16,Uttar Pradesh,Bareilly ,Sainthal (NP),1823,1,617,617,551,1204,1,0,543,209,28,1
32,17,Uttar Pradesh,Bareilly ,Shahi (NP),989,0,443,441,437,544,1,1,405,0,6,0
34,18,Uttar Pradesh,Bareilly ,Shergarh (NP),2687,148,828,827,777,1674,26,11,460,0,237,2
36,19,Uttar Pradesh,Bareilly ,Shishgarh (NP),1854,0,573,573,563,1254,0,27,573,566,2,0
38,20,Uttar Pradesh,Bareilly ,Sirauli (NP),1563,223,682,682,657,629,4,25,629,0,140,5
40,21,Uttar Pradesh,Bareilly ,Thiriya Nizamat Khan (NP),248,0,134,134,131,113,0,1,118,1,1,1
0,1,Uttar Pradesh,Basti ,Bankati (NP),1481,538,751,499,496,187,5,0,129,0,258,5
2,2,Uttar Pradesh,Basti ,Basti (NPP),6787,625,3006,2952,2217,3102,27,27,2656,721,483,35
4,3,Uttar Pradesh,Basti ,Bhabnan Bazar (NP),5532,747,1323,1195,902,3444,4,14,590,372,179,10
6,4,Uttar Pradesh,Basti ,Harraiya (NP),2201,0,582,346,302,1605,8,6,239,1,41,9
8,5,Uttar Pradesh,Basti ,Rudhauli Bazar(NP),2796,170,2116,980,923,111,10,389,188,73,198,5
0,1,Uttar Pradesh,Bhadohi ,Bhadohi (NPP),21484,1,2799,2799,2093,17932,17,735,1404,1329,580,18
2,2,Uttar Pradesh,Bhadohi ,Ghosia Bazar (NP),8126,72,1644,1391,1146,6315,11,84,823,467,549,29
4,3,Uttar Pradesh,Bhadohi ,Gopiganj (NPP),8734,315,1554,1497,1143,6775,9,81,952,461,372,68
6,4,Uttar Pradesh,Bhadohi ,Gyanpur (NP),7579,98,620,620,581,6739,9,113,583,551,25,33
8,5,Uttar Pradesh,Bhadohi ,Khamaria (NP),7629,273,1553,1548,1298,5753,10,40,1070,652,279,31
10,6,Uttar Pradesh,Bhadohi ,Nai Bazar (NP),3457,150,599,599,493,2699,2,7,587,541,86,9
12,7,Uttar Pradesh,Bhadohi ,Suriyawan (NP),3915,55,1402,1402,1059,2408,11,39,1077,606,302,5
0,1,Uttar Pradesh,Bijnor ,Afzalgarh (NPP),5646,0,72,72,71,5564,1,9,74,72,0,1
2,2,Uttar Pradesh,Bijnor ,Bijnor (NPP),9164,0,1114,1114,826,5808,1,2241,1064,1037,0,2
4,3,Uttar Pradesh,Bijnor ,Chandpur (NPP),17851,8,592,581,524,15221,16,2014,587,1,11,14
6,4,Uttar Pradesh,Bijnor ,Dhampur (NPP),5850,20,308,308,209,5399,5,118,297,263,1,41
8,5,Uttar Pradesh,Bijnor ,Haldaur (NPP),4316,17,517,517,464,3262,8,512,393,0,9,4
10,6,Uttar Pradesh,Bijnor ,Jalalabad (NP),1080,0,260,260,248,820,0,0,260,256,0,0
12,7,Uttar Pradesh,Bijnor ,Jhalu (NP),2292,0,520,520,492,1664,2,106,518,513,3,33
14,8,Uttar Pradesh,Bijnor ,Kiratpur (NPP),3464,0,692,692,555,2763,1,8,649,644,2,1
16,9,Uttar Pradesh,Bijnor ,Mandawar (NP),3273,2,399,395,370,2482,0,390,390,322,1,0
18,10,Uttar Pradesh,Bijnor ,Nagina (NPP),10134,245,683,682,470,9166,17,23,550,0,21,9
20,11,Uttar Pradesh,Bijnor ,Najibabad (NPP),4320,11,542,536,312,3396,1,370,538,153,6,1
22,12,Uttar Pradesh,Bijnor ,Nehtaur (NPP),2725,81,512,510,499,1969,6,157,355,1,2,1
24,13,Uttar Pradesh,Bijnor ,Noorpur (NPP),5168,7,539,539,416,3856,3,763,539,2,49,3
26,14,Uttar Pradesh,Bijnor ,Sahanpur (NP),757,0,199,199,198,558,0,0,199,177,0,0
28,15,Uttar Pradesh,Bijnor ,Sahaspur (NP),1446,5,645,645,574,745,1,50,649,644,0,3
30,16,Uttar Pradesh,Bijnor ,Seohara (NPP),1254,36,143,142,141,898,4,173,132,132,10,10
32,17,Uttar Pradesh,Bijnor ,Sherkot (NPP),1903,80,847,847,755,921,1,54,856,840,6,2
34,18,Uttar Pradesh,Bijnor ,Warhapur (NP),1693,154,594,590,520,706,1,238,548,0,7,1
0,1,Uttar Pradesh,Budaun ,Allapur (NP),4398,8,1581,1493,1011,2562,7,240,1557,892,2,133
2,2,Uttar Pradesh,Budaun ,Bilsi (NPP),2475,0,1035,1035,833,1024,7,409,1040,756,0,12
4,3,Uttar Pradesh,Budaun ,Bisauli (NPP),2246,2,888,888,768,1258,2,96,893,858,0,5
6,4,Uttar Pradesh,Budaun ,Budaun (NPP),8697,4,3722,3722,3489,4861,83,27,4625,2574,12,87
8,5,Uttar Pradesh,Budaun ,Dataganj (NPP),2848,7,1719,1719,1484,1021,6,95,1561,1384,0,18
10,6,Uttar Pradesh,Budaun ,Faizganj (NP),2020,4,624,624,476,1241,15,136,620,537,0,14
12,7,Uttar Pradesh,Budaun ,Gulariya (NP),872,1,289,289,284,491,3,88,284,283,0,4
14,8,Uttar Pradesh,Budaun ,Islamnagar (NP),4075,0,1742,1742,1594,2152,12,169,1775,1742,0,5
16,9,Uttar Pradesh,Budaun ,Kachhla (NP),2343,1,1429,1429,1315,849,1,63,1413,1397,0,0
18,10,Uttar Pradesh,Budaun ,Kakrala (NPP),4561,0,873,873,710,3630,10,48,1089,873,0,13
20,11,Uttar Pradesh,Budaun ,Kunwargaon (NP),2181,0,885,885,753,1231,0,65,850,845,0,0
22,12,Uttar Pradesh,Budaun ,Mundiya (NP),1686,0,493,493,453,1053,0,140,494,208,0,0
24,13,Uttar Pradesh,Budaun ,Rudayan (NP),3515,1,1064,1064,903,2372,5,73,1065,847,0,4
26,14,Uttar Pradesh,Budaun ,Sahaswan (NPP),8500,8,2369,2369,359,4097,17,2009,2116,1946,1,17
28,15,Uttar Pradesh,Budaun ,Saidpur (NP),1767,0,245,245,212,1380,7,135,240,210,1,0
30,16,Uttar Pradesh,Budaun ,Sakhanu (NP),3456,0,1202,1202,993,1424,6,824,1202,1197,0,5
32,17,Uttar Pradesh,Budaun ,Ujhani (NPP),5486,0,2520,2520,2309,2830,20,116,2664,2276,0,12
34,18,Uttar Pradesh,Budaun ,Usawan (NP),3634,2,1400,1400,1292,2066,9,157,1685,1168,0,9
36,19,Uttar Pradesh,Budaun ,Usehat (NP),4834,17,1623,1623,570,1956,13,1225,1623,601,0,5
38,20,Uttar Pradesh,Budaun ,Wazirganj (NP),3716,4,1600,1600,1302,1797,10,305,1600,1299,0,4
0,1,Uttar Pradesh,Bulandshahr ,Anupshahr (NPP),4309,16,876,876,727,3380,4,33,824,48,26,5
2,2,Uttar Pradesh,Bulandshahr ,Aurangabad (NP),3431,65,1750,890,756,1499,3,114,825,374,67,42
4,3,Uttar Pradesh,Bulandshahr ,Bhawan Bahadur Nagar (NP),1050,3,856,584,520,185,5,1,449,302,124,5
6,4,Uttar Pradesh,Bulandshahr ,Bugrasi (NP),1721,22,733,714,460,940,2,24,591,570,12,1
8,5,Uttar Pradesh,Bulandshahr ,Bulandshahr (NPP),9589,92,1713,1691,1660,7755,11,18,1138,1064,112,10
10,6,Uttar Pradesh,Bulandshahr ,Chhatari (NP),2459,1,509,509,487,1232,3,714,471,460,24,2
12,7,Uttar Pradesh,Bulandshahr ,Dibai (NPP),31052,3,770,770,600,29472,4,803,756,705,43,9
14,8,Uttar Pradesh,Bulandshahr ,Gulaothi (NPP),1613,15,751,750,672,716,10,121,705,698,65,6
16,9,Uttar Pradesh,Bulandshahr ,Jahangirabad (NPP),3824,65,1093,988,810,2587,8,71,839,0,39,4
18,10,Uttar Pradesh,Bulandshahr ,Kakod (NP),1080,0,281,281,271,589,0,210,265,259,10,0
20,11,Uttar Pradesh,Bulandshahr ,Khanpur (NP),2112,7,722,698,567,1282,4,97,659,657,5,3
22,12,Uttar Pradesh,Bulandshahr ,Khurja (NPP),31198,125,1992,1988,1923,25742,8,3331,1621,1323,140,3
24,13,Uttar Pradesh,Bulandshahr ,Naraura (NP),3570,552,1697,1697,1344,1307,3,11,788,584,254,3
26,14,Uttar Pradesh,Bulandshahr ,Pahasu (NP),8169,533,801,702,426,6757,2,76,576,544,64,0
28,15,Uttar Pradesh,Bulandshahr ,Shikarpur (NPP),20090,80,835,835,779,15415,2,3758,700,106,51,6
30,16,Uttar Pradesh,Bulandshahr ,Siana (NPP),1841,197,630,617,435,985,9,20,601,1,75,7
32,17,Uttar Pradesh,Bulandshahr ,Sikandrabad (NPP),11637,297,381,381,355,10945,7,7,251,10,20,9
0,1,Uttar Pradesh,Chandauli ,Chakia (NP),2988,43,777,777,732,2128,4,36,784,126,2,4
2,2,Uttar Pradesh,Chandauli ,Chandauli (NP),4020,34,1097,1084,1063,2871,8,10,1094,0,4,10
4,3,Uttar Pradesh,Chandauli ,Mughalsarai Railway Settlement (ITS),0,0,0,0,0,0,0,0,0,0,0,0
6,4,Uttar Pradesh,Chandauli ,Pt. Deendayal Upadhyay Nagar (NPP),7722,604,3571,3457,3038,3148,14,385,3173,0,206,10
8,5,Uttar Pradesh,Chandauli ,Saiyad Raza (NP),2571,125,1393,1393,1380,890,3,160,1267,0,11,13
0,1,Uttar Pradesh,Chitrakoot Dham (Karwi) ,Chitrakoot Dham (Karwi) (NPP),5033,62,2651,2651,692,2086,3,231,2366,2121,346,6
2,2,Uttar Pradesh,Chitrakoot Dham (Karwi) ,Manikpur Sarhat (NP),3969,0,1110,1110,961,2397,8,454,695,650,671,6
4,3,Uttar Pradesh,Chitrakoot Dham (Karwi) ,Rajapur (NP),1951,2,1288,1288,1183,656,3,2,501,470,539,7
0,1,Uttar Pradesh,Deoria ,Bariyarpur (NP),2369,224,1987,1975,1972,157,1,0,1381,965,332,4
2,2,Uttar Pradesh,Deoria ,Bhatni Bazar (NP),1726,257,847,833,603,494,11,117,634,466,205,6
4,3,Uttar Pradesh,Deoria ,Bhatpar Rani (NP),1737,112,793,789,438,588,7,237,740,645,62,8
6,4,Uttar Pradesh,Deoria ,Deoria (NPP),3905,533,2021,2021,1548,1291,4,56,1917,1879,83,20
8,5,Uttar Pradesh,Deoria ,Gaura Barhaj (NPP),3059,0,1662,1662,1628,1062,43,292,1648,1601,28,68
10,6,Uttar Pradesh,Deoria ,Gauri Bazar (NP),2102,25,346,346,331,1715,5,11,348,343,1,27
12,7,Uttar Pradesh,Deoria ,Lar (NP),2327,54,1053,1052,1009,874,12,334,987,838,199,6
14,8,Uttar Pradesh,Deoria ,Majhauliraj (NP),3060,136,2245,2245,2148,599,7,73,1112,780,847,4
16,9,Uttar Pradesh,Deoria ,Rampur Karkhana (NP),1517,143,792,792,715,578,1,3,793,732,9,1
18,10,Uttar Pradesh,Deoria ,Rudrapur (NP),4336,1039,2107,1945,1872,758,17,415,1757,1285,608,12
20,11,Uttar Pradesh,Deoria ,Salempur (NP),1233,56,698,601,550,466,11,2,544,463,76,5
0,1,Uttar Pradesh,Etah ,Aliganj (NPP),5011,66,835,834,812,4031,10,69,735,208,116,5
2,2,Uttar Pradesh,Etah ,Awagarh (NP),10597,5,359,359,339,9140,2,1091,351,304,2,4
4,3,Uttar Pradesh,Etah ,Etah (NPP),8194,80,1357,1356,1226,5347,7,1403,1333,235,65,7
6,4,Uttar Pradesh,Etah ,Jaithara (NP),4490,91,575,573,531,3512,10,302,516,0,6,6
8,5,Uttar Pradesh,Etah ,Jalesar (NPP),16039,42,1417,1417,1267,14067,28,485,1306,10,166,17
10,6,Uttar Pradesh,Etah ,Marehra (NPP),11707,12,722,722,682,3940,7,7026,654,592,34,0
12,7,Uttar Pradesh,Etah ,Nidhauli Kalan (NP),13525,47,670,670,548,11787,3,1018,619,33,33,2
14,8,Uttar Pradesh,Etah ,Raja Ka Rampur (NP),1396,17,691,690,675,538,1,149,609,20,30,1
16,9,Uttar Pradesh,Etah ,Sakit (NP),9932,0,650,645,598,6711,12,2559,590,0,19,26
0,1,Uttar Pradesh,Etawah ,Bakewar (NP),1513,377,390,390,347,525,6,215,390,0,1,2
2,2,Uttar Pradesh,Etawah ,Bharthana (NPP),6266,709,2087,1134,1004,3344,24,102,1157,1115,38,35
4,3,Uttar Pradesh,Etawah ,Ekdil (NP),2504,73,724,724,699,1699,7,1,725,708,4,3
6,4,Uttar Pradesh,Etawah ,Etawah (NPP),8322,74,2563,2562,2545,5347,9,329,2330,1944,52,20
8,5,Uttar Pradesh,Etawah ,Jaswantnagar (NPP),3062,3,1511,1511,1493,1464,22,62,1521,1190,28,23
10,6,Uttar Pradesh,Etawah ,Lakhna (NP),1636,109,183,183,182,1135,2,207,184,176,2,2
0,1,Uttar Pradesh,Farrukhabad,Farrukhabad-cum-Fatehgarh (NPP),17832,616,5808,5808,4359,9875,44,1489,5108,3519,313,38
2,2,Uttar Pradesh,Farrukhabad,Fatehgarh (CB),18,18,0,0,0,0,0,0,1,0,0,0
4,3,Uttar Pradesh,Farrukhabad,Kaimganj (NPP),4748,14,627,627,556,2774,3,1330,513,452,29,3
6,4,Uttar Pradesh,Farrukhabad,Kamalganj (NP),7776,3,532,531,218,6913,1,327,526,511,9,3
8,5,Uttar Pradesh,Farrukhabad,Kampil (NP),3265,3,1599,1599,849,690,1,972,1567,1563,0,2
10,6,Uttar Pradesh,Farrukhabad,Mohammadabad (NP),8892,241,2167,2143,1596,5037,18,1429,1486,1183,83,15
12,7,Uttar Pradesh,Farrukhabad,Shamsabad (NP),4782,31,1430,1430,1315,2616,15,690,1289,1283,0,6
0,1,Uttar Pradesh,Fatehpur,Bahuwa (NP),1259,152,889,889,880,210,2,6,738,55,85,3
2,2,Uttar Pradesh,Fatehpur,Bindki (NPP),3071,7,1053,1053,962,1625,5,381,1082,578,0,36
4,3,Uttar Pradesh,Fatehpur,Fatehpur (NPP),8542,327,6509,6048,5321,1617,25,64,4544,3209,735,49
6,4,Uttar Pradesh,Fatehpur,Hathgram (NP),2009,120,1206,1205,998,524,5,154,1174,590,0,7
8,5,Uttar Pradesh,Fatehpur,Khaga (NP),3281,53,1908,1892,1666,1252,7,61,1288,1188,433,4
10,6,Uttar Pradesh,Fatehpur,Kishunpur (NP),1140,11,859,859,845,245,1,24,615,178,40,0
12,7,Uttar Pradesh,Fatehpur,Kora Jahanabad (NP),3191,170,1328,1316,1163,1492,9,192,733,98,81,0
0,1,Uttar Pradesh,Firozabad ,Eka (NP),3991,75,3628,3436,2860,265,22,1,65,0,2873,5
2,2,Uttar Pradesh,Firozabad ,Fariha (NP),2033,0,527,527,459,1216,6,284,459,23,27,1
4,3,Uttar Pradesh,Firozabad ,Firozabad (M.Corp.),38941,953,11945,11944,8202,23490,73,2480,6908,6680,1243,57
6,4,Uttar Pradesh,Firozabad ,Jasrana (NP),35810,1,561,559,396,33149,11,2088,480,243,71,3
8,5,Uttar Pradesh,Firozabad ,Shikohabad (NPP),13643,25,1963,1963,1247,9613,25,2017,1559,968,154,17
10,6,Uttar Pradesh,Firozabad ,Sirsaganj (NPP),8521,14,799,799,745,7663,5,40,800,731,5,7
12,7,Uttar Pradesh,Firozabad ,Tundla (NPP),29263,75,1109,1109,1024,27023,6,1050,981,383,149,8
0,1,Uttar Pradesh,Gautam Buddha Nagar,Bilaspur (NP),599,45,248,248,156,252,0,54,221,220,17,1
2,2,Uttar Pradesh,Gautam Buddha Nagar,Dadri (NPP),1282,40,463,453,245,700,3,76,453,412,31,3
4,3,Uttar Pradesh,Gautam Buddha Nagar,Dankaur (NP),1529,1,310,310,255,1212,2,4,271,263,12,3
6,4,Uttar Pradesh,Gautam Buddha Nagar,Greater Noida IDA,0,0,0,0,0,0,0,0,0,0,0,0
8,5,Uttar Pradesh,Gautam Buddha Nagar,Jahangirpur (NP),923,2,263,262,248,611,0,47,209,179,17,0
10,6,Uttar Pradesh,Gautam Buddha Nagar,Jewar (NP),6305,30,1020,1020,1013,5240,6,9,800,145,140,8
12,7,Uttar Pradesh,Gautam Buddha Nagar,NOIDA,249,19,97,97,94,133,0,0,98,0,1,0
14,8,Uttar Pradesh,Gautam Buddha Nagar,Rabupura (NP),985,50,188,128,119,746,0,1,111,66,35,1
0,1,Uttar Pradesh,Ghaziabad ,Dasna (NP),567,106,358,328,327,97,6,0,294,0,6,2
2,2,Uttar Pradesh,Ghaziabad ,Faridnagar (NP),1079,58,736,564,557,279,2,4,509,428,29,2
4,3,Uttar Pradesh,Ghaziabad ,Ghaziabad (M Corp.),5509,238,4479,4436,3675,768,5,19,4312,5,0,6
6,4,Uttar Pradesh,Ghaziabad ,Khoda Makanpur (NPP),3,0,0,0,0,2,0,1,0,0,0,1
8,5,Uttar Pradesh,Ghaziabad ,Loni (NPP),5228,0,3110,3110,3082,1994,9,115,3079,2576,77,19
10,6,Uttar Pradesh,Ghaziabad ,Modinagar (NPP),3857,823,2542,2542,2343,474,8,10,2376,1355,358,26
12,7,Uttar Pradesh,Ghaziabad ,Muradnagar (NPP),1120,166,423,423,416,489,5,37,384,216,10,4
14,8,Uttar Pradesh,Ghaziabad ,Niwari (NP),445,42,230,227,226,86,2,85,217,190,8,1
16,9,Uttar Pradesh,Ghaziabad ,Patala (NP),734,81,346,345,241,182,4,121,313,313,10,1
0,1,Uttar Pradesh,Ghazipur ,Bahadurganj (NP),1335,92,966,964,901,233,4,40,757,0,185,1
2,2,Uttar Pradesh,Ghazipur ,Dildarnagar Fatehpur Bazar (NP),1242,261,552,476,325,422,6,1,463,0,4,1
4,3,Uttar Pradesh,Ghazipur ,Ghazipur (NPP),6468,1149,2423,2371,2120,1341,28,1527,2136,332,91,34
6,4,Uttar Pradesh,Ghazipur ,Jangipur (NP),1647,7,998,998,872,525,7,110,972,465,9,3
8,5,Uttar Pradesh,Ghazipur ,Mohammadabad (NPP),3297,827,2092,1992,1731,319,21,38,1969,0,7,16
10,6,Uttar Pradesh,Ghazipur ,Sadat (NP),10951,0,1256,1256,1228,3792,4,5899,1228,1184,25,47
12,7,Uttar Pradesh,Ghazipur ,Saidpur (NP),7513,111,1846,1846,1694,3612,11,1933,1686,41,417,10
14,8,Uttar Pradesh,Ghazipur ,Zamania (NPP),3231,190,2116,2116,2035,890,22,13,2008,1989,41,155
0,1,Uttar Pradesh,Gonda ,Colonelganj (NPP),1329,122,694,694,606,497,8,8,742,624,41,13
2,2,Uttar Pradesh,Gonda ,Gonda (NPP),6097,538,2068,1717,1255,3445,25,21,1608,894,134,52
4,3,Uttar Pradesh,Gonda ,Katra (NP),1389,29,764,642,609,478,3,115,701,639,9,13
6,4,Uttar Pradesh,Gonda ,Khargupur (NP),1726,1,643,626,607,1020,0,62,571,510,46,24
8,5,Uttar Pradesh,Gonda ,Mankapur (NP),869,27,164,164,121,663,8,7,166,36,79,20
10,6,Uttar Pradesh,Gonda ,Nawabganj (NPP),1812,17,760,490,392,911,9,115,605,446,326,8
12,7,Uttar Pradesh,Gonda ,Paraspur (NP),1301,60,989,451,451,246,5,1,255,216,132,6
0,1,Uttar Pradesh,Gorakhpur ,Bansgaon (NP),2323,440,721,721,711,784,9,369,706,488,10,16
2,2,Uttar Pradesh,Gorakhpur ,Barhalganj (NP),1222,181,830,826,760,198,12,1,774,5,89,23
4,3,Uttar Pradesh,Gorakhpur ,Gola Bazar (NP),1629,55,906,906,900,530,4,134,733,393,79,12
6,4,Uttar Pradesh,Gorakhpur ,Gorakhpur (M Corp.),22766,3881,10942,10942,10265,7817,66,60,9955,9172,367,123
8,5,Uttar Pradesh,Gorakhpur ,Kasba Sangrampur-Unwal(NP),0,0,0,0,0,0,0,0,0,0,0,0
10,6,Uttar Pradesh,Gorakhpur ,Mundera Bazar (NP),811,53,433,433,408,320,1,4,392,85,26,2
12,7,Uttar Pradesh,Gorakhpur ,Pipiganj (NP),2297,171,973,973,956,782,8,363,664,327,208,5
14,8,Uttar Pradesh,Gorakhpur ,Pipraich (NP),1757,18,735,735,716,467,0,537,724,414,4,1
16,9,Uttar Pradesh,Gorakhpur ,Sahjanwan (NP),4355,71,2301,2293,1750,1456,3,524,2023,687,100,13
18,10,Uttar Pradesh,Gorakhpur ,Unwal (NP),2446,1409,879,750,747,135,14,9,267,0,237,1
0,1,Uttar Pradesh,Hamirpur ,Gohand (NP),1970,47,974,974,484,938,4,7,856,754,6,1
2,2,Uttar Pradesh,Hamirpur ,Hamirpur (NPP),2587,130,1898,1894,1852,538,14,7,839,712,304,6
4,3,Uttar Pradesh,Hamirpur ,Kurara (NP),2914,8,1361,1307,963,1416,7,122,1185,852,270,163
6,4,Uttar Pradesh,Hamirpur ,Maudaha (NPP),2804,71,1930,1928,1370,757,9,37,932,788,273,4
8,5,Uttar Pradesh,Hamirpur ,Rath (NPP),4489,92,2942,2940,2867,1404,21,30,1398,1276,154,13
10,6,Uttar Pradesh,Hamirpur ,Sarila (NP),2448,79,1383,1383,1054,969,6,11,961,871,154,12
12,7,Uttar Pradesh,Hamirpur ,Sumerpur (NP),3635,153,2318,2318,2215,1076,36,52,2272,1643,860,59
0,1,Uttar Pradesh,Hapur,Babugarh (NP),217,4,95,91,87,112,1,5,72,49,12,0
